20260313-060106-4354 12185 * main            (server.cc:217):    Starting server.
20260313-060106-4363 12185 * main            (server.cc:335):    Creating a default paritioner!
20260313-060108-4405 12185 * main            (server.cc:513):    Done loading server.
20260313-060128-6352 12185 * SendRequest     (client.cc:198):    Sending client request with id 1 (shardtag=8589934593 predlist_size=1)
20260313-060128-6356 12185 * SendRequest     (client.cc:198):    Sending client request with id 2 (shardtag=8589934594 predlist_size=1)
20260313-060128-6939 12185 * SendRequest     (client.cc:198):    Sending client request with id 3 (shardtag=25769803777 predlist_size=1)
20260313-060128-6941 12185 * SendRequest     (client.cc:198):    Sending client request with id 4 (shardtag=25769803778 predlist_size=1)
20260313-060128-6942 12185 * SendRequest     (client.cc:198):    Sending client request with id 5 (shardtag=25769803779 predlist_size=1)
20260313-060128-7266 12185 * SendRequest     (client.cc:198):    Sending client request with id 6 (shardtag=42949672961 predlist_size=1)
20260313-060128-7268 12185 * SendRequest     (client.cc:198):    Sending client request with id 7 (shardtag=42949672962 predlist_size=1)
20260313-060128-7389 12185 * SendRequest     (client.cc:198):    Sending client request with id 8 (shardtag=111669149697 predlist_size=1)
20260313-060128-7390 12185 * SendRequest     (client.cc:198):    Sending client request with id 9 (shardtag=111669149698 predlist_size=1)
20260313-060128-7392 12185 * SendRequest     (client.cc:198):    Sending client request with id 10 (shardtag=111669149699 predlist_size=1)
20260313-060128-7420 12185 * SendRequest     (client.cc:198):    Sending client request with id 11 (shardtag=94489280513 predlist_size=1)
20260313-060128-8241 12185 * SendRequest     (client.cc:198):    Sending client request with id 12 (shardtag=77309411329 predlist_size=1)
20260313-060128-8440 12185 * SendRequest     (client.cc:198):    Sending client request with id 13 (shardtag=128849018881 predlist_size=0)
20260313-060128-8442 12185 * SendRequest     (client.cc:198):    Sending client request with id 14 (shardtag=128849018882 predlist_size=1)
20260313-060128-8443 12185 * SendRequest     (client.cc:198):    Sending client request with id 15 (shardtag=128849018883 predlist_size=1)
20260313-060129-1298 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-1407 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-1465 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-4043 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-6059 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-7480 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-8441 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-8501 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-9488 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060129-9543 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-0080 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-0344 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-0511 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-1373 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-1496 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-3557 12185 * SendRequest     (client.cc:198):    Sending client request with id 16 (shardtag=111669149700 predlist_size=1)
20260313-060130-3559 12185 * SendRequest     (client.cc:198):    Sending client request with id 17 (shardtag=111669149701 predlist_size=1)
20260313-060130-3560 12185 * SendRequest     (client.cc:198):    Sending client request with id 18 (shardtag=111669149702 predlist_size=1)
20260313-060130-5438 12185 * SendRequest     (client.cc:198):    Sending client request with id 19 (shardtag=77309411330 predlist_size=1)
20260313-060130-5439 12185 * SendRequest     (client.cc:198):    Sending client request with id 20 (shardtag=77309411331 predlist_size=1)
20260313-060130-5477 12185 * SendRequest     (client.cc:198):    Sending client request with id 21 (shardtag=60129542145 predlist_size=1)
20260313-060130-5479 12185 * SendRequest     (client.cc:198):    Sending client request with id 22 (shardtag=60129542146 predlist_size=1)
20260313-060130-5480 12185 * SendRequest     (client.cc:198):    Sending client request with id 23 (shardtag=60129542147 predlist_size=1)
20260313-060130-5481 12185 * SendRequest     (client.cc:198):    Sending client request with id 24 (shardtag=60129542148 predlist_size=1)
20260313-060130-5521 12185 * SendRequest     (client.cc:198):    Sending client request with id 25 (shardtag=8589934595 predlist_size=1)
20260313-060130-5523 12185 * SendRequest     (client.cc:198):    Sending client request with id 26 (shardtag=8589934596 predlist_size=1)
20260313-060130-5524 12185 * SendRequest     (client.cc:198):    Sending client request with id 27 (shardtag=8589934597 predlist_size=1)
20260313-060130-5591 12185 * SendRequest     (client.cc:198):    Sending client request with id 28 (shardtag=94489280514 predlist_size=1)
20260313-060130-6411 12185 * SendRequest     (client.cc:198):    Sending client request with id 29 (shardtag=42949672963 predlist_size=0)
20260313-060130-6413 12185 * SendRequest     (client.cc:198):    Sending client request with id 30 (shardtag=42949672964 predlist_size=1)
20260313-060130-6414 12185 * SendRequest     (client.cc:198):    Sending client request with id 31 (shardtag=42949672965 predlist_size=1)
20260313-060130-6415 12185 * SendRequest     (client.cc:198):    Sending client request with id 32 (shardtag=42949672966 predlist_size=1)
20260313-060130-6585 12185 * SendRequest     (client.cc:198):    Sending client request with id 33 (shardtag=128849018884 predlist_size=1)
20260313-060130-8584 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-9445 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060130-9446 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-1519 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-2460 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-2492 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-4469 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-4532 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-4569 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-4659 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-6579 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-6621 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-7519 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-7545 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-9637 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060131-9667 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060132-0600 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060132-2311 12185 * SendRequest     (client.cc:198):    Sending client request with id 34 (shardtag=25769803780 predlist_size=1)
20260313-060132-2689 12185 * SendRequest     (client.cc:198):    Sending client request with id 35 (shardtag=111669149703 predlist_size=1)
20260313-060132-2691 12185 * SendRequest     (client.cc:198):    Sending client request with id 36 (shardtag=111669149704 predlist_size=1)
20260313-060132-2748 12185 * SendRequest     (client.cc:198):    Sending client request with id 37 (shardtag=94489280515 predlist_size=1)
20260313-060132-3576 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060132-4567 12185 * SendRequest     (client.cc:198):    Sending client request with id 38 (shardtag=42949672967 predlist_size=1)
20260313-060132-4666 12185 * SendRequest     (client.cc:198):    Sending client request with id 39 (shardtag=8589934598 predlist_size=0)
20260313-060132-7681 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060132-9794 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060133-3634 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060133-7764 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060133-7851 12185 * SendRequest     (client.cc:198):    Sending client request with id 40 (shardtag=128849018885 predlist_size=1)
20260313-060133-9777 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060133-9904 12185 * SendRequest     (client.cc:198):    Sending client request with id 41 (shardtag=94489280516 predlist_size=1)
20260313-060134-0402 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060134-0725 12185 * SendRequest     (client.cc:198):    Sending client request with id 42 (shardtag=42949672968 predlist_size=1)
20260313-060134-0727 12185 * SendRequest     (client.cc:198):    Sending client request with id 43 (shardtag=42949672969 predlist_size=1)
20260313-060134-1767 12185 * SendRequest     (client.cc:198):    Sending client request with id 44 (shardtag=60129542149 predlist_size=1)
20260313-060134-2806 12185 * SendRequest     (client.cc:198):    Sending client request with id 45 (shardtag=8589934599 predlist_size=0)
20260313-060134-2808 12185 * SendRequest     (client.cc:198):    Sending client request with id 46 (shardtag=8589934600 predlist_size=1)
20260313-060134-2810 12185 * SendRequest     (client.cc:198):    Sending client request with id 47 (shardtag=8589934601 predlist_size=1)
20260313-060134-5830 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060134-5833 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060134-7767 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060134-7768 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-060135-3982 12185 ! ReceiveMessage  (replica.cc:680):   [0] Ignoring stray ReplyMessage delivered to replica listener
