20260313-142512-2279 01380 * main            (server.cc:217):    Starting server.
20260313-142512-2287 01380 * main            (server.cc:335):    Creating a default paritioner!
20260313-142514-1303 01380 * main            (server.cc:513):    Done loading server.
20260313-142535-1802 01380 * SendRequest     (client.cc:198):    Sending client request with id 1 (shardtag=120259084289 predlist_size=1)
20260313-142535-6898 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142535-7613 01380 * SendRequest     (client.cc:198):    Sending client request with id 2 (shardtag=34359738369 predlist_size=1)
20260313-142535-8762 01380 * SendRequest     (client.cc:198):    Sending client request with id 3 (shardtag=68719476737 predlist_size=0)
20260313-142535-8934 01380 * SendRequest     (client.cc:198):    Sending client request with id 4 (shardtag=120259084290 predlist_size=0)
20260313-142535-9364 01380 * SendRequest     (client.cc:198):    Sending client request with id 5 (shardtag=1 predlist_size=1)
20260313-142536-1778 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142536-1950 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142536-2637 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142536-4668 01380 * SendRequest     (client.cc:198):    Sending client request with id 6 (shardtag=34359738370 predlist_size=1)
20260313-142536-4714 01380 * SendRequest     (client.cc:198):    Sending client request with id 7 (shardtag=17179869185 predlist_size=1)
20260313-142536-4991 01380 * SendRequest     (client.cc:198):    Sending client request with id 8 (shardtag=120259084291 predlist_size=1)
20260313-142536-5394 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142536-5684 01380 * SendRequest     (client.cc:198):    Sending client request with id 9 (shardtag=103079215105 predlist_size=1)
20260313-142536-5762 01380 * SendRequest     (client.cc:198):    Sending client request with id 10 (shardtag=85899345921 predlist_size=1)
20260313-142536-8691 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142536-8734 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142536-9011 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142537-0709 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142537-0788 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142537-2742 01380 * SendRequest     (client.cc:198):    Sending client request with id 11 (shardtag=103079215106 predlist_size=1)
20260313-142537-2823 01380 * SendRequest     (client.cc:198):    Sending client request with id 12 (shardtag=85899345922 predlist_size=1)
20260313-142537-3882 01380 * SendRequest     (client.cc:198):    Sending client request with id 13 (shardtag=51539607553 predlist_size=0)
20260313-142537-6899 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142537-7767 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142537-7847 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142538-4883 01380 * SendRequest     (client.cc:198):    Sending client request with id 14 (shardtag=17179869186 predlist_size=1)
20260313-142538-5183 01380 * SendRequest     (client.cc:198):    Sending client request with id 15 (shardtag=120259084292 predlist_size=0)
20260313-142538-8199 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142538-8904 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142539-0921 01380 * SendRequest     (client.cc:198):    Sending client request with id 16 (shardtag=34359738371 predlist_size=1)
20260313-142539-3912 01380 * SendRequest     (client.cc:198):    Sending client request with id 17 (shardtag=103079215107 predlist_size=1)
20260313-142539-5946 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142539-7986 01380 * SendRequest     (client.cc:198):    Sending client request with id 18 (shardtag=17179869187 predlist_size=0)
20260313-142539-8937 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142539-9093 01380 * SendRequest     (client.cc:198):    Sending client request with id 19 (shardtag=68719476738 predlist_size=1)
20260313-142540-1002 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142540-4119 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142540-5022 01380 * SendRequest     (client.cc:198):    Sending client request with id 20 (shardtag=34359738372 predlist_size=1)
20260313-142540-9041 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142541-1097 01380 * SendRequest     (client.cc:198):    Sending client request with id 21 (shardtag=17179869188 predlist_size=1)
20260313-142541-2225 01380 * SendRequest     (client.cc:198):    Sending client request with id 22 (shardtag=51539607554 predlist_size=1)
20260313-142541-2395 01380 * SendRequest     (client.cc:198):    Sending client request with id 23 (shardtag=120259084293 predlist_size=0)
20260313-142541-2397 01380 * SendRequest     (client.cc:198):    Sending client request with id 24 (shardtag=120259084294 predlist_size=1)
20260313-142541-5089 01380 * SendRequest     (client.cc:198):    Sending client request with id 25 (shardtag=103079215108 predlist_size=1)
20260313-142541-5419 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142541-5422 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142541-6126 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142541-7155 01380 * SendRequest     (client.cc:198):    Sending client request with id 26 (shardtag=17179869189 predlist_size=1)
20260313-142541-8128 01380 * SendRequest     (client.cc:198):    Sending client request with id 27 (shardtag=34359738373 predlist_size=0)
20260313-142541-8255 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142542-0190 01380 * SendRequest     (client.cc:198):    Sending client request with id 28 (shardtag=85899345923 predlist_size=1)
20260313-142542-1121 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142542-1141 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142542-1173 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142542-2906 01380 * SendRequest     (client.cc:198):    Sending client request with id 29 (shardtag=2 predlist_size=0)
20260313-142542-5922 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142542-6226 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142542-9960 01380 * SendRequest     (client.cc:198):    Sending client request with id 30 (shardtag=3 predlist_size=1)
20260313-142542-9962 01380 * SendRequest     (client.cc:198):    Sending client request with id 31 (shardtag=4 predlist_size=1)
20260313-142543-0274 01380 * SendRequest     (client.cc:198):    Sending client request with id 32 (shardtag=17179869190 predlist_size=1)
20260313-142543-2247 01380 * SendRequest     (client.cc:198):    Sending client request with id 33 (shardtag=34359738374 predlist_size=1)
20260313-142543-3398 01380 * SendRequest     (client.cc:198):    Sending client request with id 34 (shardtag=68719476739 predlist_size=0)
20260313-142543-4320 01380 * SendRequest     (client.cc:198):    Sending client request with id 35 (shardtag=85899345924 predlist_size=0)
20260313-142543-4322 01380 * SendRequest     (client.cc:198):    Sending client request with id 36 (shardtag=85899345925 predlist_size=1)
20260313-142543-4985 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-4987 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-6280 01380 * SendRequest     (client.cc:198):    Sending client request with id 37 (shardtag=103079215109 predlist_size=0)
20260313-142543-6301 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-6413 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-7277 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-7341 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-7342 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-8623 01380 * SendRequest     (client.cc:198):    Sending client request with id 38 (shardtag=120259084295 predlist_size=1)
20260313-142543-9294 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142543-9314 01380 * SendRequest     (client.cc:198):    Sending client request with id 39 (shardtag=34359738375 predlist_size=0)
20260313-142543-9315 01380 * SendRequest     (client.cc:198):    Sending client request with id 40 (shardtag=34359738376 predlist_size=1)
20260313-142544-0458 01380 * SendRequest     (client.cc:198):    Sending client request with id 41 (shardtag=51539607555 predlist_size=1)
20260313-142544-2332 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142544-2336 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142544-3647 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142544-5488 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142545-3509 01380 * SendRequest     (client.cc:198):    Sending client request with id 42 (shardtag=85899345926 predlist_size=0)
20260313-142545-3512 01380 * SendRequest     (client.cc:198):    Sending client request with id 43 (shardtag=85899345927 predlist_size=1)
20260313-142545-4576 01380 * SendRequest     (client.cc:198):    Sending client request with id 44 (shardtag=51539607556 predlist_size=0)
20260313-142545-4577 01380 * SendRequest     (client.cc:198):    Sending client request with id 45 (shardtag=51539607557 predlist_size=1)
20260313-142545-6529 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142545-7465 01380 * SendRequest     (client.cc:198):    Sending client request with id 46 (shardtag=103079215110 predlist_size=1)
20260313-142545-7597 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142545-8501 01380 * SendRequest     (client.cc:198):    Sending client request with id 47 (shardtag=17179869191 predlist_size=1)
20260313-142545-9545 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142545-9790 01380 * SendRequest     (client.cc:198):    Sending client request with id 48 (shardtag=120259084296 predlist_size=1)
20260313-142546-0568 01380 * SendRequest     (client.cc:198):    Sending client request with id 49 (shardtag=85899345928 predlist_size=1)
20260313-142546-0612 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-0640 01380 * SendRequest     (client.cc:198):    Sending client request with id 50 (shardtag=68719476740 predlist_size=1)
20260313-142546-0642 01380 * SendRequest     (client.cc:198):    Sending client request with id 51 (shardtag=68719476741 predlist_size=1)
20260313-142546-1258 01380 * SendRequest     (client.cc:198):    Sending client request with id 52 (shardtag=5 predlist_size=1)
20260313-142546-2536 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-3496 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-4567 01380 * SendRequest     (client.cc:198):    Sending client request with id 53 (shardtag=17179869192 predlist_size=1)
20260313-142546-4659 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-4662 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-5575 01380 * SendRequest     (client.cc:198):    Sending client request with id 54 (shardtag=34359738377 predlist_size=1)
20260313-142546-5821 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-6291 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-6598 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142546-6836 01380 * SendRequest     (client.cc:198):    Sending client request with id 55 (shardtag=120259084297 predlist_size=1)
20260313-142546-7325 01380 * SendRequest     (client.cc:198):    Sending client request with id 56 (shardtag=6 predlist_size=0)
20260313-142546-7620 01380 * SendRequest     (client.cc:198):    Sending client request with id 57 (shardtag=85899345929 predlist_size=0)
20260313-142546-9597 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142547-0341 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142547-0637 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
20260313-142547-0866 01380 ! ReceiveMessage  (replica.cc:814):   [0] Ignoring stray ReplyMessage delivered to replica listener
