20260224-151350-9486 04592 * main            (benchmark.cc:403): Starting benchmark.
20260224-151351-5483 04592 * main            (benchmark.cc:622): Creating a default paritioner!
20260224-151351-5485 04592 * Client          (client.cc:75):     Initializing StrongStore client with id [3]
20260224-151351-5488 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151351-5488 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67177152
20260224-151351-5488 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67177152
20260224-151351-5488 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67177152
20260224-151351-5493 04592 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260224-151351-5493 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151351-5493 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67177152
20260224-151351-5493 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67177152
20260224-151351-5493 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67177152
20260224-151351-5494 04592 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260224-151351-5494 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151351-5494 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67177152
20260224-151351-5494 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67177152
20260224-151351-5494 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67177152
20260224-151351-5495 04592 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260224-151351-5495 04592 * BenchmarkClient (bench_client.cc:81): starting benchclient, issueConcurrent: 1; fanout: 1
Session created: 0
last_service: , current_state: 0
Session continued: 0
last_service: , current_state: 0
Session destroyed: 18446744073709551615
last_service: , current_state: 0
20260224-151351-5678 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151351-5678 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174464
20260224-151351-5678 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174464
20260224-151351-5678 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174464
20260224-151351-9532 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151351-9532 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151351-9533 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151351-9533 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151352-1548 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151352-1549 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151352-1549 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151352-1549 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151352-9623 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151352-9624 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151352-9624 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151352-9624 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151353-3710 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151353-3711 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151353-3711 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151353-3712 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151353-7798 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151353-7798 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151353-7799 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151353-7799 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151354-1884 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151354-1884 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151354-1885 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151354-1885 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151354-5972 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151354-5973 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151354-5973 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151354-5974 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151355-0059 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151355-0059 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151355-0060 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151355-0060 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151355-4144 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151355-4145 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151355-4145 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151355-4146 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151355-5677 04592 * WarmupDone      (bench_client.cc:723): Completed warmup period of 4 seconds with 9 requests
20260224-151355-8231 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151355-8232 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151355-8233 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151355-8233 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151356-2322 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151356-2323 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151356-2323 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151356-2323 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151356-4355 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151356-4355 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151356-4356 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151356-4356 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151356-6387 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151356-6388 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151356-6389 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151356-6389 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151356-8420 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151356-8421 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151356-8421 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151356-8422 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
20260224-151357-0452 04592 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-151357-0453 04592 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 67174544
20260224-151357-0453 04592 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 67174544
20260224-151357-0454 04592 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 67174544
