20260224-150858-4485 02055 * main            (benchmark.cc:403): Starting benchmark.
20260224-150859-0533 02055 * main            (benchmark.cc:622): Creating a default paritioner!
20260224-150859-0536 02055 * Client          (client.cc:75):     Initializing StrongStore client with id [1]
20260224-150859-0538 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150859-0538 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975033680
20260224-150859-0538 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975033680
20260224-150859-0538 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975033680
20260224-150859-0542 02055 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 1 1
20260224-150859-0542 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150859-0542 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975033680
20260224-150859-0543 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975033680
20260224-150859-0543 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975033680
20260224-150859-0543 02055 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 1 1
20260224-150859-0543 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150859-0543 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975033680
20260224-150859-0544 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975033680
20260224-150859-0544 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975033680
20260224-150859-0544 02055 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 1 1
20260224-150859-0544 02055 * BenchmarkClient (bench_client.cc:81): starting benchclient, issueConcurrent: 0; fanout: 1
Session created: 0
last_service: , current_state: 0
Session continued: 0
last_service: , current_state: 0
Session destroyed: 18446744073709551615
last_service: , current_state: 0
20260224-150859-0726 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150859-0726 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975030992
20260224-150859-0726 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975030992
20260224-150859-0726 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975030992
20260224-150859-8541 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150859-8542 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150859-8542 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150859-8542 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150900-2573 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150900-2574 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150900-2574 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150900-2575 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150900-6606 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150900-6607 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150900-6607 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150900-6607 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150901-0639 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150901-0640 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150901-0640 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150901-0641 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150901-4673 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150901-4674 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150901-4674 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150901-4674 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150901-8706 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150901-8706 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150901-8707 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150901-8707 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150902-2739 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150902-2739 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150902-2740 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150902-2740 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150902-6771 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150902-6772 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150902-6772 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150902-6773 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150903-0726 02055 * WarmupDone      (bench_client.cc:723): Completed warmup period of 4 seconds with 8 requests
20260224-150903-0806 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150903-0807 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150903-0807 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150903-0807 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150903-4840 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150903-4846 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150903-4846 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150903-4846 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150903-8878 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150903-8879 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150903-8879 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150903-8880 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150904-2912 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150904-2913 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150904-2913 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150904-2913 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150904-6945 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150904-6946 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150904-6946 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150904-6947 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150905-0978 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150905-0979 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
20260224-150905-0979 02055 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 975031072
20260224-150905-0980 02055 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 975031072
20260224-150905-5012 02055 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150905-5012 02055 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 975031072
