20260309-000730-8168 39083 * main            (benchmark.cc:404): Starting benchmark.
20260309-000731-4188 39083 * main            (benchmark.cc:623): Creating a default paritioner!
20260309-000731-4191 39083 * Client          (client.cc:75):     Initializing StrongStore client with id [3]
20260309-000731-4194 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4194 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4194 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4194 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4198 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260309-000731-4198 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4198 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4198 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4198 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4199 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260309-000731-4199 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4199 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4199 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4199 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4200 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260309-000731-4201 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4201 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4201 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4201 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4202 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260309-000731-4202 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4202 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4202 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4202 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4203 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260309-000731-4203 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4203 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4203 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4203 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4203 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
20260309-000731-4205 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000731-4205 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700684048
20260309-000731-4205 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700684048
20260309-000731-4205 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700684048
20260309-000731-4206 39083 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 3 1
